"Gene","expected_dir","TN_log2FC","cox_beta"
"SPOCK2","adverse_high",-0.610062703775393,0.0266789421423286
"PYCR1","adverse_high",1.8612764520688,0.148237114177252
"CA4","protective_high",-5.40927859691262,-0.0513629212943784
"CES1","protective_high",-1.35774634268716,-0.00412294628742869
"ABCB1","protective_high",-1.1621636331866,-0.0702945649018908
"ZG16","protective_high",-4.9906720953301,-0.0446627509968721
"TNXB","protective_high",-2.49180972706163,0.0519131388499344
"HMCN2","protective_high",-1.63052371225312,-0.0223227792097365
"MEP1A","protective_high",-1.88364386358677,-0.0483796462559834
"SLC37A2","protective_high",-1.00873897753444,-0.00593728561940286
"CHGB","protective_high",-2.48960980551121,0.0605832397537404
